location,size,total_sqft,bath,price,bhk,price_per_sqft
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,33898.405197873595
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,64935.06493506493
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,51428.57142857143
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,42523.36448598131
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,72505.80046403712
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,43503.875968992244
Uttarahalli,2 BHK,1143.0,2.0,45.0,2,39370.07874015748
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,62500.0
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,30303.030303030304
Ganga Nagar,1 BHK,600.0,1.0,38.0,1,63333.333333333336
Yelahanka,1 Bedroom,660.0,1.0,48.0,1,72727.27272727272
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,68976.6596029277
HSR Layout,8 Bedroom,600.0,9.0,200.0,8,333333.3333333333
Doddathoguru,2 BHK,970.0,2.0,33.0,2,34020.61855670103
Whitefield,2 BHK,1459.0,2.0,94.82,2,64989.71898560658
KR Puram,2 Bedroom,800.0,1.0,130.0,2,162500.0
Himagiri Meadows,2 BHK,869.0,2.0,36.0,2,41426.92750287687
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2,39370.07874015748
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,59281.4371257485
Whitefield,3 BHK,2010.0,3.0,91.0,3,45273.63184079602
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,63291.13924050633
Yelahanka,3 BHK,1600.0,2.0,75.0,3,46875.0
Begur Road,2 BHK,1200.0,2.0,44.0,2,36666.666666666664
Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,2,123333.33333333333
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6,106609.80810234541
Govindaraja Nagar Ward,2 BHK,840.0,2.0,45.0,2,53571.42857142857
Tharabanahalli,3 Bedroom,4395.0,3.0,240.0,3,54607.508532423206
Ganga Nagar,2 BHK,845.0,2.0,55.0,2,65088.757396449706
Whitefield,4 Bedroom,5700.0,5.0,650.0,4,114035.08771929824
Varthur,2 BHK,1160.0,2.0,44.0,2,37931.03448275862
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,46666.666666666664
Doddathoguru,2 BHK,1100.0,2.0,62.0,2,56363.63636363636
Gunjur,2 BHK,1140.0,2.0,43.0,2,37719.29824561404
Marathahalli,2 BHK,1220.0,2.0,57.0,2,46721.311475409835
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,62962.96296296296
Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,36497.51243781095
Double Road,3 Bedroom,500.0,3.0,100.0,3,200000.0
Begur Road,2 BHK,1358.0,2.0,80.58,2,59337.26067746686
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,64372.21159974506
Haralur Road,2 BHK,1240.0,2.0,70.0,2,56451.6129032258
Hennur Road,3 BHK,2089.0,3.0,140.0,3,67017.71182383916
Kothannur,2 BHK,1206.0,2.0,48.23,2,39991.70812603649
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,34782.608695652176
Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3,81640.78056551176
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,47826.086956521736
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,56818.181818181816
Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3,63253.01204819277
Yelahanka,2 BHK,1326.0,2.0,78.0,2,58823.529411764706
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,45886.79245283019
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,68045.36357571714
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,70000.0
Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,52852.852852852855
Dasanapura,2 BHK,708.0,2.0,37.0,2,52259.88700564972
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,54773.58490566038
Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6,225352.11267605633
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,70000.0
Electronic City,2 BHK,1000.0,2.0,28.88,2,28880.0
 Mysore Highway,3 BHK,1450.0,2.0,70.0,3,48275.862068965514
ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4,129166.66666666667
Thanisandra,2 BHK,1296.0,2.0,80.0,2,61728.39506172839
Domlur,3 BHK,1540.0,3.0,90.0,3,58441.55844155844
Kengeri,4 Bedroom,2894.0,4.0,245.0,4,84657.91292328956
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3,36090.22556390977
Devasthanagalu,2 BHK,1200.0,2.0,65.0,2,54166.666666666664
T Dasarahalli,3 Bedroom,1200.0,3.0,90.0,3,75000.0
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,55155.87529976019
Chandapura,2 BHK,650.0,1.0,17.0,2,26153.846153846152
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,62500.0
Green View Layout,2 BHK,1007.0,2.0,43.0,2,42701.092353525324
Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2,41666.666666666664
Peenya,2 BHK,966.0,2.0,49.9,2,51656.31469979296
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,60122.69938650307
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3,139634.1463414634
Jalahalli West,2 BHK,782.0,2.0,55.68,2,71202.04603580563
Devanahalli,2 BHK,1260.0,2.0,66.78,2,53000.0
Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,3,66666.66666666667
Byatarayanapura,3 BHK,1413.0,2.0,75.0,3,53078.55626326964
Whitefield,2 BHK,1116.0,2.0,51.91,2,46514.33691756272
Electronic City,3 BHK,1530.0,2.0,45.9,3,30000.0
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,60810.81081081081
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,56067.28073688426
Kengeri,3 BHK,1540.0,2.0,64.0,3,41558.44155844156
Thanisandra,3 BHK,1436.0,3.0,74.75,3,52054.31754874652
Malleshwaram,2 BHK,1100.0,2.0,75.0,2,68181.81818181818
Hennur Road,2 Bedroom,276.0,3.0,23.0,2,83333.33333333333
Thanisandra,3 BHK,1427.0,3.0,120.0,3,84092.50175192712
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,97040.27171276079
Hebbal,4 BHK,5611.5,4.0,477.0,4,85004.00962309542
Shampura,4 BHK,2650.0,4.0,150.0,4,56603.77358490566
Devanahalli,3 BHK,1282.0,2.0,68.52,3,53447.73790951638
Kadugodi,2 BHK,1050.0,2.0,34.0,2,32380.95238095238
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,40625.0
Vajarahalli,2 BHK,945.0,2.0,54.0,2,57142.857142857145
Hormavu,2 BHK,1500.0,2.0,78.0,2,52000.0
Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7,121052.63157894737
Peenya,3 BHK,1870.0,3.0,110.0,3,58823.529411764706
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,46875.0
Electronic City,2 BHK,880.0,1.0,16.5,2,18750.0
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,210.0,4,175000.0
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,54071.66123778502
Kanakpura Road,2 BHK,950.0,2.0,57.0,2,60000.0
Devanahalli,2 BHK,1360.0,2.0,65.0,2,47794.117647058825
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,50307.40568234746
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3,39375.0
Chandra Layout,3 BHK,1260.0,2.0,85.05,3,67500.0
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,50000.0
Yelahanka,5 BHK,3050.0,5.0,213.0,5,69836.0655737705
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,67176.35392341895
ISRO Layout,2 BHK,1000.0,2.0,60.0,2,60000.0
Anandapura,2 BHK,1167.0,2.0,43.76,2,37497.857754927165
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,56250.0
Kothanur,3 BHK,1828.0,3.0,110.0,3,60175.05470459518
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,39325.84269662921
Basavanapura,3 BHK,1612.0,3.0,46.74,3,28995.03722084367
Dinnur,6 Bedroom,1034.0,5.0,185.0,6,178916.82785299807
Mysore Road,3 BHK,1710.0,4.0,91.31,3,53397.66081871345
Kannamangala,2 BHK,957.0,2.0,58.0,2,60606.06060606061
 Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,35200.0
Sanjeevini Nagar,3 BHK,2795.0,4.0,235.0,3,84078.71198568873
Hulimavu,2 BHK,1125.0,2.0,50.0,2,44444.444444444445
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,30000.0
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,41666.666666666664
Thanisandra,3 BHK,1735.0,3.0,135.0,3,77809.79827089337
Thanisandra,3 BHK,2050.0,3.0,145.0,3,70731.70731707317
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4,202666.66666666666
Yarandahalli,3 BHK,1350.0,2.0,48.0,3,35555.555555555555
Hosa Road,2 BHK,1063.0,2.0,32.0,2,30103.480714957666
Keshava Nagar,3 BHK,1904.0,3.0,150.0,3,78781.51260504202
Whitefield,4 Bedroom,4200.0,4.0,420.0,4,100000.0
RMV Extension,3 BHK,2000.0,3.0,175.0,3,87500.0
Sarjapur,2 BHK,1242.5,2.0,43.49,2,35002.012072434605
Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3,52631.57894736842
Electronic City,3 BHK,1500.0,2.0,64.5,3,43000.0
Electronic City,2 BHK,1060.0,2.0,60.0,2,56603.77358490566
Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3,47619.04761904762
Kothnur Narayanapura,6 BHK,1300.0,6.0,99.0,6,76153.84615384616
Attibele,1 BHK,450.0,1.0,11.0,1,24444.444444444445
Electronic City,2 BHK,1152.0,2.0,64.5,2,55989.583333333336
Electronic City,3 BHK,1350.0,2.0,56.0,3,41481.48148148148
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,41935.48387096774
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,100.0,3,66666.66666666667
Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5,141666.66666666666
Nagavara,1 Bedroom,400.0,1.0,14.0,1,35000.0
Malleshwaram,1 BHK,705.0,1.0,67.0,1,95035.4609929078
Electronic City,2 BHK,770.0,1.0,36.0,2,46753.246753246756
Hulimavu,2 BHK,1242.0,2.0,51.0,2,41062.80193236715
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,91176.4705882353
Thanisandra,3 BHK,2144.0,3.0,145.0,3,67630.59701492537
Vijayanagar,3 BHK,1704.0,3.0,110.0,3,64553.99061032864
Electronic City,2 BHK,1070.0,2.0,52.0,2,48598.13084112149
8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,3,162513.54279523293
Jakkuru Layout,2 BHK,1340.0,2.0,55.7,2,41567.164179104475
Electronic City,2 BHK,1025.0,2.0,46.0,2,44878.04878048781
KR Puram,2 BHK,1277.5,2.0,56.8,2,44461.83953033268
Marathahalli,2 BHK,1200.0,2.0,52.0,2,43333.333333333336
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,48888.88888888889
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,51612.903225806454
Bellandur,4 Bedroom,1200.0,5.0,325.0,4,270833.3333333333
Ejipura,7 Bedroom,1800.0,7.0,250.0,7,138888.88888888888
Marathahalli,2 BHK,1200.0,2.0,60.0,2,50000.0
Yelahanka,2 BHK,1327.0,2.0,98.0,2,73850.79125847777
Kothanur,2 BHK,1186.0,2.0,58.0,2,48903.87858347386
MS Pallya,3 Bedroom,1783.0,3.0,115.0,3,64498.03701626472
HSR Layout,3 BHK,1400.0,3.0,56.0,3,40000.0
Nagasandra,2 BHK,980.0,2.0,48.0,2,48979.5918367347
EPIP Zone,2 BHK,1285.0,2.0,82.0,2,63813.22957198443
Langford Town,3 BHK,912.0,2.0,70.0,3,76754.38596491228
Whitefield,2 BHK,1225.0,2.0,47.6,2,38857.142857142855
Whitefield,2 BHK,1075.0,2.0,53.0,2,49302.32558139535
Kadugodi,3 BHK,1260.0,2.0,54.0,3,42857.142857142855
Yelahanka,3 BHK,1282.0,2.0,48.7,3,37987.51950078003
Kogilu,3 BHK,1909.0,3.0,88.0,3,46097.43321110529
Panathur,2 BHK,1359.0,2.0,87.0,2,64017.66004415011
Nagondanahalli,2 BHK,1207.0,2.0,43.5,2,36039.76801988401
Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4,109447.00460829493
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,150175.43859649124
Kammasandra,3 BHK,1595.0,3.0,65.0,3,40752.35109717868
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,89.0,3,49499.44382647386
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,53077.96610169492
Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3,63291.13924050633
Dasarahalli,2 BHK,1295.0,2.0,65.0,2,50193.05019305019
Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,39166.666666666664
Electronic City,1 BHK,589.0,1.0,27.0,1,45840.40747028863
Ngef Layout,3 BHK,1415.0,3.0,78.0,3,55123.674911660775
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,55002.797985450474
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,69949.63626189144
Koramangala,3 BHK,1475.0,2.0,90.0,3,61016.94915254237
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,75.5,4,37750.0
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,45000.0
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3,108108.1081081081
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,66666.66666666667
Shantiniketan Layout,2 Bedroom,1500.0,2.0,115.0,2,76666.66666666667
Hebbal,3 BHK,1900.0,3.0,119.0,3,62631.57894736842
Dommasandra,2 BHK,805.0,2.0,22.14,2,27503.10559006211
Budigere,2 BHK,1153.0,2.0,56.4,2,48915.87163920208
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2,52264.80836236934
Mylasandra,2 BHK,1110.0,2.0,55.0,2,49549.54954954955
Electronic City,2 BHK,1100.0,2.0,42.0,2,38181.818181818184
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,85271.31782945736
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3,43333.333333333336
Bank Of Baroda Colony,2 BHK,1080.0,2.0,39.0,2,36111.11111111111
Vijayanagar,3 BHK,1933.0,3.0,129.0,3,66735.64407656493
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,42857.142857142855
Kullappa Colony,2 BHK,1060.0,2.0,60.0,2,56603.77358490566
Chandapura,1 BHK,645.0,1.0,16.45,1,25503.875968992248
Mukkutam Nagar,8 Bedroom,2600.0,8.0,180.0,8,69230.76923076923
Chandapura,1 BHK,645.0,1.0,16.45,1,25503.875968992248
Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3,51094.890510948906
Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2,56420.233463035016
Electronic City,3 Bedroom,1200.0,3.0,90.0,3,75000.0
Electronic City,2 BHK,910.0,2.0,40.0,2,43956.043956043955
Kothanur,3 BHK,1577.0,3.0,70.0,3,44388.078630310716
Meenakunte,3 Bedroom,4050.0,3.0,280.0,3,69135.8024691358
OMBR Layout,3 BHK,2420.0,3.0,185.0,3,76446.28099173553
Chandapura,2 BHK,800.0,1.0,20.0,2,25000.0
Anand Nagar,2 BHK,1060.0,2.0,55.0,2,51886.79245283019
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,73228.34645669292
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,22.5,2,25000.0
Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,2,53906.25
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4,79166.66666666667
Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,35121.95121951219
Electronic City,2 BHK,1108.0,2.0,63.0,2,56859.20577617329
MCECHS  layout,5 Bedroom,1200.0,5.0,170.0,5,141666.66666666666
Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3,55829.228243021345
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,103448.27586206897
Vijayanagar,3 BHK,1500.0,3.0,75.5,3,50333.333333333336
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,33899.6138996139
Budigere,2 BHK,1162.0,2.0,59.9,2,51549.053356282275
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,47536.23188405797
Attibele,4 Bedroom,1600.0,4.0,52.8,4,33000.0
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,46.0,3,31420.765027322403
Hennur Road,3 BHK,1866.0,2.0,61.58,3,33001.0718113612
Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2,37142.857142857145
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,66518.84700665188
Sarjapur,2 BHK,913.0,2.0,32.0,2,35049.28806133626
Talaghattapura,3 BHK,1868.0,3.0,131.0,3,70128.47965738758
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,50962.627406568514
Sundara Nagar,2 Bedroom,900.0,2.0,110.0,2,122222.22222222222
Kogilu,3 BHK,1664.0,2.0,73.95,3,44441.105769230766
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,65153.01085883514
Balagere,2 BHK,1210.0,2.0,80.9,2,66859.5041322314
Meenakunte,4 Bedroom,4111.0,4.0,250.0,4,60812.45439065921
Kadugodi,3 BHK,1762.0,3.0,91.45,3,51901.24858115777
Jigani,3 BHK,1252.0,3.0,55.0,3,43929.7124600639
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,40069.68641114983
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,70422.5352112676
Srirampura,6 Bedroom,1450.0,6.0,250.0,6,172413.7931034483
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,52885.906040268455
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,42790.6976744186
Old Madras Road,3 BHK,1425.0,2.0,94.0,3,65964.91228070176
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,33333.333333333336
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,43750.0
Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2,46125.46125461254
Chandapura,2 BHK,1015.0,2.0,25.88,2,25497.536945812808
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,50393.31366764995
Haralur Road,2 BHK,1027.0,2.0,44.0,2,42843.23271665044
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,42095.41627689429
Hebbal,2 BHK,1349.0,2.0,98.2,2,72794.66271312084
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,49751.24378109453
Jakkur,2 BHK,1417.0,2.0,75.0,2,52928.72265349329
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,66440.67796610169
Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2,49473.68421052631
RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4,60000.0
Giri Nagar,3 Bedroom,880.0,3.0,140.0,3,159090.9090909091
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,55823.9398819109
Singasandra,2 BHK,1010.0,2.0,29.5,2,29207.920792079207
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,49122.80701754386
Vijayanagar,3 BHK,1450.0,3.0,100.0,3,68965.5172413793
Kothanur,3 BHK,1847.0,3.0,105.0,3,56848.9442338928
AECS Layout,2 BHK,1100.0,2.0,45.0,2,40909.09090909091
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,49523.80952380953
Mallasandra,3 BHK,1665.0,3.0,95.0,3,57057.057057057056
Begur,4 BHK,1664.0,4.0,65.0,4,39062.5
JP Nagar,3 BHK,1850.0,3.0,150.0,3,81081.08108108108
Panathur,2 BHK,1438.0,2.0,100.0,2,69541.02920723226
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3,73717.94871794872
Yelahanka,2 BHK,1350.0,2.0,55.55,2,41148.148148148146
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,43225.8064516129
Malleshpalya,2 BHK,1140.0,2.0,46.5,2,40789.47368421053
Srirampura,5 Bedroom,1200.0,5.0,180.0,5,150000.0
Kodathi,2 BHK,850.0,2.0,27.0,2,31764.70588235294
Whitefield,2 BHK,1280.0,2.0,75.0,2,58593.75
Munnekollal,2 BHK,1170.0,2.0,52.0,2,44444.444444444445
Motappa Layout,2 BHK,1113.0,2.0,51.0,2,45822.10242587601
Hennur Road,2 BHK,1385.0,2.0,83.09,2,59992.779783393504
Electronic City,2 BHK,1128.0,2.0,65.0,2,57624.113475177306
Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,106666.66666666667
Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,4,137500.0
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3,173640.16736401673
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,166666.66666666666
Haralur Road,3 BHK,1464.0,3.0,56.0,3,38251.366120218576
Manayata Tech Park,2 BHK,1200.0,2.0,55.0,2,45833.333333333336
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,43333.333333333336
Kaggalipura,3 BHK,1150.0,2.0,55.0,3,47826.086956521736
Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3,57750.759878419456
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,67000.0
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,74716.98113207547
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,62080.536912751675
Ulsoor,3 BHK,2135.0,3.0,215.0,3,100702.57611241218
Whitefield,2 BHK,1173.0,2.0,58.0,2,49445.86530264279
Uttarahalli,2 BHK,1020.0,2.0,45.0,2,44117.64705882353
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,73670.72389493915
Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,40000.0
T.C PALYA,2 Bedroom,1200.0,2.0,79.0,2,65833.33333333333
Muneshwara Nagar,2 BHK,1230.0,2.0,48.0,2,39024.39024390244
 Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,32000.0
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,57358.49056603773
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,81081.08108108108
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,54166.666666666664
Bull Temple Road,3 Bedroom,1350.0,2.0,140.0,3,103703.70370370371
Bommasandra,3 BHK,1260.0,3.0,49.36,3,39174.60317460317
Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3,83333.33333333333
Suragajakkanahalli,3 Bedroom,11.0,3.0,74.0,3,6727272.7272727275
Ardendale,2 BHK,1100.0,2.0,43.25,2,39318.181818181816
Harlur,2 BHK,1508.0,2.0,77.0,2,51061.00795755968
Sampigehalli,3 BHK,1592.0,3.0,75.0,3,47110.5527638191
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,41066.28242074928
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,45000.0
RMV,3 Bedroom,2000.0,3.0,365.0,3,182500.0
Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,125.0,3,70942.11123723042
Bagalur Main Road,2 BHK,950.0,2.0,50.0,2,52631.57894736842
Kodihalli,4 BHK,3252.0,5.0,335.0,4,103013.53013530135
Magadi Road,2 BHK,1116.0,2.0,50.0,2,44802.867383512545
Narayanapura,2 BHK,1308.0,2.0,89.04,2,68073.39449541284
MS Pallya,3 BHK,1200.0,3.0,90.0,3,75000.0
Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,230.0,4,153333.33333333334
Bannerghatta Road,1 BHK,500.0,1.0,18.5,1,37000.0
Hennur,2 BHK,1075.0,2.0,52.0,2,48372.09302325582
Chandapura,1 BHK,530.0,1.0,11.66,1,22000.0
Bellandur,2 BHK,1205.0,2.0,66.0,2,54771.78423236514
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,55813.95348837209
KR Puram,2 BHK,930.0,2.0,39.0,2,41935.48387096774
Balagere,2 BHK,1380.0,2.0,60.0,2,43478.260869565216
Hebbal,4 BHK,2483.0,5.0,212.0,4,85380.58799838905
Kodigehaali,2 BHK,1166.0,2.0,55.0,2,47169.811320754714
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,61904.76190476191
Gopalapura,3 BHK,2023.71,3.0,275.0,3,135889.03548433323
Begur Road,2 BHK,1200.0,2.0,46.8,2,39000.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,67500.0
Billekahalli,3 BHK,1935.0,3.0,110.0,3,56847.54521963824
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,66297.11751662972
